NO.,NAME,POS.,CL.,HT.,HOMETOWN,HIGH SCHOOL
2,Jamie Schmeltz,G,Jr.,5-9,"Perrysburg, Ohio",Eastwood
3,Ella Neitzel,G,Fr.,5-9,"Rocky River, Ohio",St. Joseph Academy
4,Emma Dretke,G,Fr.,5-11,"Massillon, Ohio",Jackson
10,Akilah Stewart,G,Sr.,5-5,"Brampton, Ontario",St. Margurite d'Youville
11,Daylan Baker,G,Fr.,5-7,"North Ridgeville, Ohio",North RIdgeville
12,Abby Hickey,G,R-Jr.,6-0,"Toledo, Ohioio",Toledo Whitmer
13,Vanessa Sales,G,Sr.,5-8,"Akron,Ohio" McKinely
15,Lexie Scarton,G,Gr.,5-9,"Middleburg Heights, Ohio",Berea Midpark
21,Morgan McMillen,G,Gr.,5-8,"New Philadelphia, Ohio",Berlin Hiland
22,Gracie Turner,G,Fr.,5-8,"Canton, Ohio",Canton Central Catholic
24,Kiley Dyrlund,G,Fr.,6-0,"Canton, Ohio",GlenOak
25,Lauren Galaska,G,So.,5-8,"Olmsted Falls, Ohio", Olmsted Falls
34,Faith Williams,G,Gr.,5-8,"Akron, Ohio" St. Vincent St. Mary's